Group,Subgroup,2020-03-18 21:30:00,2020-03-19 21:30:00,2020-03-20 21:30:00,2020-03-21 21:30:00,2020-03-23 21:00:00,2020-03-24 13:45:00,2020-03-24 21:00:00,2020-03-25 13:15:00,2020-03-25 21:30:00,2020-03-26 12:45:00,2020-03-26 21:00:00,2020-03-27 12:30:00,2020-03-27 20:00:00,2020-03-28 14:00:00,2020-03-28 20:00:00,2020-03-29 13:30:00,2020-03-29 20:15:00,2020-03-30 14:30:00,2020-03-30 20:30:00,2020-03-31 13:30:00,2020-03-31 20:30:00,2020-03-31 20:30:00,2020-04-01 13:30:00,2020-04-01 20:30:00,2020-04-02 13:30:00,2020-04-02 20:30:00,2020-04-03 13:30:00,2020-04-03 20:30:00,2020-04-04 12:30:00,2020-04-04 21:00:00,2020-04-05 13:45:00,2020-04-05 20:45:00,2020-04-06 13:30:00,2020-04-06 21:30:00,2020-04-07 13:30:00,2020-04-07 20:45:00,2020-04-08 13:15:00,2020-04-08 21:30:00,2020-04-09 13:30:00,2020-04-09 21:00:00,2020-04-10 20:00:00,2020-04-11 13:00:00,2020-04-11 20:15:00,2020-04-12 13:00:00,2020-04-12 21:00:00,2020-04-13 13:30:00,2020-04-13 20:30:00,2020-04-14 22:00:00,2020-04-15 22:00:00,2020-04-16 22:00:00,2020-04-17 22:00:00,2020-04-18 22:00:00,2020-04-19 22:00:00,2020-04-20 22:00:00,2020-04-21 22:00:00,2020-04-22 22:00:00,2020-04-23 22:00:00,2020-04-24 22:00:00,2020-04-25 22:00:00,2020-04-26 22:00:00,2020-04-27 22:00:00,2020-04-28 22:00:00,2020-04-29 22:00:00,2020-04-30 22:00:00,2020-05-01 22:00:00,2020-05-02 22:00:00,2020-05-03 22:00:00,2020-05-04 22:00:00,2020-05-05 18:00:00-04:00,2020-05-06 18:00:00-04:00,2020-05-07 18:00:00-04:00
Total,,2009,3954,5683,8115,13119,14776,15597,16788,20011,21873,23112,25573,26697,29158,30765,32308,33474,36221,38087,40900,41771,41771,44915,45707,48462,49707,52948,56289,59487,60850,63767,64955,67820,68776,72324,74601,77967,80204,84373,87725,94409,96522,98715,102504,104410,106813,107263,111424,117565,122148,126368,129788,132467,134874,138435,141754,146139,150576,153204,156100,157713,159865,162212,164505,166883,168845,170534,171723,173288,174709,176086
Age Group,0 to 4,5,14,26,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age Group,5 to 17,42,94,131,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age Group,18 to 49,1034,2117,3080,4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age Group,50 to 64,463,926,1330,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age Group,65 and over,464,800,1112,1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age Group,Unknown,1,3,4,5,10,10,9,10,40,43,41,67,59,54,70,70,71,94,95,97,97,97,106,108,108,110,116,123,124,124,136,137,138,135,143,163,170,172,191,207,214,216,220,224,225,227,224,232,235,263,270,276,278,278,279,287,287,296,300,314,315,315,323,330,328,331,332,334,335,335,342
Age 50 and over,Yes,927,1726,2442,3431,5596,6341,6787,7385,8920,9863,10452,11606,12209,13468,14279,15074,15706,17169,17958,19481,19973,19973,21655,22061,23485,24129,25944,27939,29761,30528,32113,32802,34408,34868,36892,37871,39724,40803,42790,44394,47818,49088,50353,52509,53547,54938,55187,57389,61074,63461,65868,67679,69130,70456,72238,73963,76242,78515,79920,81400,82229,83292,84528,85754,86922,87867,88754,89369,90189,90947,91690
Age 50 and over,No,1081,2225,3237,4679,7513,8425,8801,9393,11051,11967,12619,13900,14429,15636,16416,17164,17697,18958,20034,21322,21701,21701,23154,23538,24869,25468,26888,28227,29602,30198,31518,32016,33274,33773,35289,36567,38073,39229,41392,43124,46377,47218,48142,49771,50638,51648,51852,53803,56256,58424,60230,61833,63059,64140,65918,67504,69610,71765,72984,74386,75169,76258,77361,78421,79633,80647,81448,82020,82764,83427,84054
Sex,Female,850,1630,2317,3318,5612,6374,6736,7303,8655,9557,10124,11250,11792,12928,13592,14293,14837,16036,16920,18264,18677,18677,20144,20522,21890,22485,24020,25536,26991,27660,29037,29607,30912,31319,32982,34118,35626,36580,38495,40135,43185,44246,45422,47342,48311,49617,49808,51934,55036,57327,59484,61274,62605,63817,65670,67410,69725,72050,73480,74952,75752,76907,78154,79396,80532,81570,82463,83054,83891,84656,85349
Sex,Male,1155,2315,3355,4787,7490,8379,8838,9460,11325,12278,12948,14279,14863,16192,17133,17971,18593,20139,21120,22587,23043,23043,24715,25128,26509,27155,28852,30672,32412,33100,34640,35256,36814,37361,39214,40323,41972,43241,45491,47193,50807,51856,52864,54733,55670,56765,57022,59051,62280,64566,66614,68219,69561,70748,72444,74016,76069,78193,79448,80854,81671,82759,83916,84989,85843,86965,87829,88443,89195,89879,90579
Sex,Unknown,4,9,11,10,17,23,23,25,31,38,40,44,42,38,40,44,44,46,47,49,51,51,56,57,63,67,76,81,84,90,90,92,94,96,128,160,369,383,387,397,417,420,429,429,429,431,433,439,249,255,270,295,301,309,321,328,345,333,276,294,290,199,142,120,508,310,242,226,202,174,158
Borough,Bronx,303,496,736,1071,1999,2328,2505,2789,3542,3924,4243,4655,4880,5352,5752,6145,6250,6830,6925,7625,7814,7814,8398,8607,9107,9343,9936,10765,11497,11820,12467,12738,13397,13680,14421,14941,15803,16419,17648,18736,20543,21061,21523,22325,22709,23352,23426,24587,25638,27014,28016,28875,29505,30142,31130,31911,32862,33950,34711,35398,35860,36382,36969,37551,38099,38599,38973,39239,39587,39878,40148
Borough,Brooklyn,505,1195,1740,2484,3742,4237,4407,4656,5232,5705,6095,6750,7091,7789,8129,8451,8887,9521,10171,10904,11160,11160,12076,12274,12983,13290,14420,15327,16243,16488,17257,17520,18215,18434,19499,20235,21109,21580,22550,23408,24846,25339,26042,26956,27462,28035,28183,29250,31279,32499,33729,34476,35203,35775,36699,37564,38727,39912,40593,41327,41744,42380,42996,43621,44303,44867,45341,45637,46139,46579,46977
Borough,Manhattan,590,1038,1402,1863,2646,2887,3013,3187,3616,3907,4046,4478,4627,5036,5237,5438,5582,5877,6060,6446,6539,6539,6960,7022,7278,7398,7713,8222,8653,8781,9135,9251,9624,9691,10098,10254,10642,10862,11244,11486,12201,12391,12712,13280,13431,13705,13740,14188,15539,15952,16404,16754,16987,17200,17495,17803,18252,18701,19046,19499,19672,19837,20121,20363,20693,20892,21125,21287,21470,21662,21862
Borough,Queens,533,1042,1514,2254,3848,4364,4667,5066,6420,7026,7362,8214,8529,9228,9831,10373,10737,11868,12756,13576,13869,13869,14966,15217,16336,16819,17832,18823,19793,20371,21342,21781,22767,23083,24115,24809,25715,26204,27063,27759,29754,30480,31044,32123,32749,33468,33616,34831,36220,37447,38733,39856,40714,41520,42637,43824,45313,46786,47511,48382,48847,49559,50304,51028,51709,52305,52845,53243,53692,54121,54558
Borough,Staten Island,77,179,285,437,877,953,999,1084,1166,1276,1330,1440,1534,1718,1781,1866,1984,2091,2140,2314,2354,2354,2480,2552,2723,2822,3012,3117,3266,3355,3530,3628,3780,3851,4154,4325,4661,5102,5831,6298,7027,7213,7358,7784,8004,8198,8236,8504,8822,9166,9414,9755,9986,10166,10405,10582,10917,11159,11275,11424,11520,11635,11752,11861,11999,12101,12169,12235,12311,12380,12452
Borough,Unknown,1,4,6,6,7,7,6,6,35,35,36,36,36,35,35,35,34,34,35,35,35,35,35,35,35,35,35,35,35,35,36,37,37,37,37,37,37,37,37,38,38,38,36,36,55,55,62,64,66,70,72,72,72,71,69,70,68,68,68,70,70,72,70,81,80,81,81,82,89,89,89
Deaths,,19,26,43,60,125,131,192,199,280,281,365,366,450,517,672,678,776,790,914,932,1096,1096,1139,1374,1397,1562,1584,1867,1905,2254,2256,2472,2475,2738,3202,3544,3602,4260,4426,4778,5429,5463,5742,5789,6182,6182,6589,,,,,,,,,,,,,,,,,,,,,,,,
Age Group,0 to 17,,,,,341,374,384,400,446,470,495,524,543,573,591,611,619,652,714,748,757,757,803,816,860,881,933,988,1046,1077,1124,1135,1179,1204,1306,1374,1447,1523,1644,1726,1867,1900,1928,1982,2025,2070,2078,2150,2256,2395,2478,2588,2652,2707,2839,2961,3116,3276,3361,3488,3555,3631,3711,3782,3897,4023,4088,4137,4188,4246,4310
Age Group,18 to 44,,,,,6035,6786,7094,7556,8880,9618,10145,11202,11617,12590,13213,13794,14233,15202,16028,17038,17347,17347,18463,18767,19835,20313,21423,22434,23492,23952,24994,25383,26331,26716,27841,28830,29977,30877,32565,33906,36475,37130,37835,39068,39704,40454,40612,42127,44016,45648,46985,48156,49066,49887,51217,52380,53941,55541,56474,57462,58042,58866,59684,60483,61376,62109,62718,63149,63726,64244,64707
Age Group,45 to 64,,,,,4343,4906,5194,5619,6786,7445,7869,8745,9158,10019,10596,11146,11577,12652,13344,14395,14689,14689,15818,16104,17035,17497,18700,19971,21167,21644,22694,23135,24298,24627,25937,26755,27965,28700,30215,31472,33914,34698,35575,37040,37851,38797,38967,40559,42743,44460,46115,47407,48444,49383,50694,51998,53696,55390,56428,57556,58143,58877,59715,60552,61424,62137,62700,63122,63670,64143,64595
Age Group,65 to 74,,,,,1402,1591,1689,1843,2226,2471,2627,2894,3034,3354,3571,3790,3954,4312,4496,4883,5015,5015,5484,5584,5946,6095,6565,7064,7528,7716,8097,8260,8631,8749,9253,9472,9945,10219,10644,10990,11736,12028,12364,12883,13128,13483,13542,14025,14949,15490,16019,16439,16776,17072,17474,17846,18372,18891,19198,19545,19749,19996,20273,20537,20813,21024,21245,21383,21590,21770,21959
Age Group,75 and over,,,,,988,1109,1227,1360,1633,1826,1935,2141,2286,2568,2724,2897,3020,3309,3410,3739,3866,3866,4241,4328,4678,4811,5211,5709,6130,6337,6722,6905,7243,7345,7844,8007,8463,8713,9114,9424,10203,10550,10793,11307,11477,11782,11840,12331,13366,13892,14501,14922,15251,15547,15932,16282,16727,17182,17443,17735,17909,18180,18506,18821,19045,19221,19451,19598,19779,19971,20173
Deaths,Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6840,7563,7890,8448,8811,9101,9562,9944,10290,10746,10961,11460,11708,11820,12287,12571,13000,13156,13319,13536,13724,13938,14162,14389
Deaths,Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4059,3914,4309,4264,4429,4582,4865,5052,5121,5102,5309,5213,5228,5395,5302,5295,5231,5126,5387,5373,5383,5359,5378,5313
